marca,modelo,año,kilometraje_km,combustible,potencia_cv,transmision,precio_eur,tipo_venta,etiqueta_ambiental
Citroën,Citroën C3 Aircross,2021,75906.0,Gasolina,110.0,Manual,11561,Usado,C
Opel,Opel Mokka,2015,51345.0,Gasolina,140.0,Manual,12700,Usado,C
Nissan,Nissan QASHQAI,2020,82909.0,Diésel,115.0,Automática,21390,Usado,C
Ford,Ford Kuga,2019,79984.0,Gasolina,120.0,Manual,14790,Usado,C
Bmw,BMW Serie 2 Active Tourer,2016,64090.0,Diésel,150.0,Automática,17850,Usado,C
Volkswagen,Volkswagen Golf,2017,94546.0,Gasolina,110.0,Automática,16490,Usado,C
Opel,Opel Corsa,2017,58969.0,Gasolina,90.0,Manual,9800,Usado,C
Opel,Opel Astra,2021,65569.0,Gasolina,145.0,Manual,15680,Usado,C
Nissan,Nissan QASHQAI,2018,124754.0,Diésel,130.0,Manual,19750,Usado,C
Mitsubishi,Mitsubishi Eclipse Cross,2019,53827.0,Gasolina,163.0,Automática,22450,Usado,C
Seat,Seat Ibiza,2022,21585.0,Gasolina,110.0,Manual,17450,Usado,C
Hyundai,Hyundai i20,2020,40407.0,Gasolina,100.0,Manual,13900,Usado,C
Toyota,Toyota C-HR,2020,45265.0,Híbrido,122.0,Automática,21900,Usado,ECO
Mercedes,Mercedes Clase A,2008,166765.0,Diésel,109.0,Manual,6900,Usado,B
Citroën,Citroën C4,2021,82732.0,Gasolina,130.0,Manual,12603,Usado,C
Peugeot,Peugeot Rifter,2022,46526.0,Diésel,130.0,Manual,25500,Usado,C
Ford,Ford Focus,2019,81773.0,Gasolina,182.0,Manual,21790,Usado,C
Seat,Seat Ateca,2019,61340.0,Diésel,115.0,Manual,15537,Usado,C
Renault,Renault Clio,2018,60217.0,Diésel,90.0,Manual,13900,Usado,C
Bmw,BMW X1,2017,164683.0,Diésel,150.0,Automática,17200,Usado,C
Peugeot,Peugeot 3008,2018,132776.0,Diésel,130.0,Manual,16350,Usado,C
Fiat,Fiat 500,2017,49317.0,Gasolina,69.0,Automática,12800,Usado,C
